ASE;2011;Anna;Liu;Female;Program Committee
ASE;2011;David;Lo;Male;Program Committee
ASE;2011;Michael;Lowry;Male;Program Committee
ASE;2011;Jonathan;Maletic;Male;Program Committee
ASE;2011;Darko;Marinov;Male;Program Committee
ASE;2011;Hong;Mei;;Program Committee
ASE;2011;Tim;Menzies;Male;Program Committee
ASE;2011;Charles;Pecheur;Male;Program Committee
ASE;2011;John;Penix;Male;Program Committee
ASE;2011;David;Redmiles;Male;Program Committee
ASE;2011;Grigore;Rosu;Male;Program Committee
ASE;2011;Motoshi;Saeki;;Program Committee
ASE;2011;Beverly;Sanders;;Program Committee
ASE;2011;Anita;Sarma;Female;Program Committee
ASE;2011;Nikolai;Tillmann;Male;Program Committee
ASE;2011;Richard;Torkar;Male;Program Committee
ASE;2011;Willem;Visser;Male;Program Committee
ASE;2011;Mike;Whalen;Male;Program Committee
ASE;2011;Tao;Xie;Male;Program Committee
ASE;2011;Albert;Zuendorf;Male;Program Committee
ASE;2011;Sven;Apel;Male;Program Board
ASE;2011;Krzystof;Czarnecki;Male;Program Board
ASE;2011;Elisabetta;Di Nitto;Female;Program Board
ASE;2011;Claudia;Ermel;Female;Program Board
ASE;2011;Ian;Gorton;Male;Program Board
ASE;2011;John;Grundy;Male;Program Board
ASE;2011;Mary;Jean Harrold;Female;Program Board
ASE;2011;Reiko;Heckel;;Program Board
ASE;2011;Sinichi;Honiden;;Program Board
ASE;2011;Andrew;Ireland;Male;Program Board
ASE;2011;Yves;Ledru;Male;Program Board
ASE;2011;Nenad;Medvidović;Male;Program Board
ASE;2011;Alex;Orso;;Program Board
ASE;2011;Houari;Sahraoui;;Program Board
ASE;2011;Yannis;Smaragdakis;Male;Program Board
ASE;2011;Gabi;Taentzer;Female;Program Board
ASE;2011;Tetsuo;Tamai;Male;Program Board
ASE;2011;Alex;Telea;;Program Board
ASE;2011;Daniel;Varro;Male;Program Board
ASE;2011;Virginie;Wiels;Female;Program Board
ASE;2011;Andrea;Zisman;Female;Program Board
ASE;2012;Michael;Goedicke;Male;General Chair
ASE;2012;Tim;Menzies;Male;Program Chair
ASE;2012;Motoshi;Saeki;;Program Chair
ASE;2012;Ewen;Denney;Male;Demo Track Chair
ASE;2012;Bernd;Fischer;Male;Demo Track Chair
ASE;2012;Tevfik;Bultan;;Doctoral Symposium Chair
ASE;2012;Andreas;Zeller;Male;Doctoral Symposium Chair
ASE;2012;Darko;Marinov;Male;Satellite Events Chair
ASE;2012;Gabriele;Taentzer;Female;Satellite Events Chair
ASE;2012;Darko;Marinov;Male;Tutorials Chair
ASE;2012;Gabriele;Taentzer;Female;Tutorials Chair
ASE;2012;Gregory;Gay;Male;Publicity Chair
ASE;2012;Patrick;Mäder;Male;Publicity Chair
ASE;2012;Hironori;Washizaki;;Publicity Chair
ASE;2012;Marco;Konersmann;Male;Finance Chair
ASE;2012;Marco;Konersmann;Male;Local Committee
ASE;2012;Patrick;Mäder;Male;Web Chair
ASE;2012;Marcelo;d’Amorim;Male;Program Committee
ASE;2012;Jamie;Andrews;;Program Committee
ASE;2012;Nikolaj;Bjoerner;Male;Program Committee
ASE;2012;Yuanfang;Cai;;Program Committee
ASE;2012;Myra;Cohen;Female;Program Committee
ASE;2012;Vittorio;Cortellessa;Male;Program Committee
ASE;2012;Ivica;Crnkovic;Male;Program Committee
ASE;2012;Bojan;Cukic;Male;Program Committee
ASE;2012;Giovanni;Denaro;Male;Program Committee
ASE;2012;Elisabetta;Di Nitto;Female;Program Committee
ASE;2012;Alexander;Egyed;Male;Program Committee
ASE;2012;Bernd;Fischer;Male;Program Committee
ASE;2012;Jaco;Geldenhuys;Male;Program Committee
ASE;2012;Lars;Grunske;Male;Program Committee
ASE;2012;Arie;Gurfinkel;Male;Program Committee
ASE;2012;Robert;Hall;Male;Program Committee
ASE;2012;Reiko;Heckel;;Program Committee
ASE;2012;Maritta;Heisel;Female;Program Committee
ASE;2012;John;Hosking;Male;Program Committee
ASE;2012;Kyo-Chul;Kang;;Program Committee
ASE;2012;David;Lo;Male;Program Committee
ASE;2012;Jonathan;Maletic;Male;Program Committee
ASE;2012;Andrian;Marcus;Male;Program Committee
ASE;2012;Katsuhisa;Maruyama;;Program Committee
ASE;2012;Tim;Menzies;Male;Program Committee
ASE;2012;Charles;Pecheur;Male;Program Committee
ASE;2012;John;Penix;Male;Program Committee
ASE;2012;David;Redmiles;Male;Program Committee
ASE;2012;Grigore;Rosu;Male;Program Committee
ASE;2012;Motoshi;Saeki;;Program Committee
ASE;2012;Houari;Sahraoui;;Program Committee
ASE;2012;Beverly;Sanders;;Program Committee
ASE;2012;Anita;Sarma;Female;Program Committee
ASE;2012;Gabriele;Taentzer;Female;Program Committee
ASE;2012;Tetsuo;Tamai;Male;Program Committee
ASE;2012;Nikolai;Tillmann;Male;Program Committee
ASE;2012;Richard;Torkar;Male;Program Committee
ASE;2012;Daniel;Varro;Male;Program Committee
ASE;2012;Mike;Whalen;Male;Program Committee
ASE;2012;Tao;Xie;Male;Program Committee
ASE;2012;Ye;Yang;;Program Committee
ASE;2012;Andreas;Zeller;Male;Program Committee
ASE;2012;Albert;Zuendorf;Male;Program Committee
ASE;2012;Doo-Hwan;Bae;;Program Board
ASE;2012;Sjaak;Brinkkemper;Male;Program Board
ASE;2012;Marsha;Chechik;Female;Program Board
ASE;2012;Krzysztof;Czarnecki;Male;Program Board
ASE;2012;Ewen;Denney;Male;Program Board
ASE;2012;Ian;Gorton;Male;Program Board
ASE;2012;Paul;Gruenbacher;Male;Program Board
ASE;2012;John;Grundy;Male;Program Board
ASE;2012;Mark;Harman;Male;Program Board
ASE;2012;Shinichi;Honiden;Male;Program Board
ASE;2012;Andrew;Ireland;Male;Program Board
ASE;2012;Sarfraz;Khurshid;Male;Program Board
ASE;2012;Yves;Ledru;Male;Program Board
ASE;2012;Anna;Liu;Female;Program Board
ASE;2012;Michael;Lowry;Male;Program Board
ASE;2012;Darko;Marinov;Male;Program Board
